Day,Work_Hours,Sleep_Hours,Study_Minutes,Break_Time,Stress_Level,Recommended_Activity
Senin,60,480,30,120,1,Tidur yang Cukup: Pastikan Anda mendapatkan tidur yang cukup untuk pemulihan tubuh.
Selasa,720,300,120,60,5,Mempraktikkan Mindfulness: Latih perhatian penuh untuk fokus pada momen sekarang.
Rabu,450,240,40,60,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Kamis,690,150,35,90,5,Mempraktikkan Mindfulness: Latih perhatian penuh untuk fokus pada momen sekarang.
Jumat,60,240,30,60,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Sabtu,30,510,45,120,1,Berbicara dengan Teman: Berbagi perasaan dengan teman dekat atau keluarga.
Minggu,240,240,20,60,3,"Seni Kreatif: Cobalah seni kreatif seperti melukis, menggambar, atau membuat kerajinan."
Senin,210,510,20,120,1,Berbicara dengan Teman: Berbagi perasaan dengan teman dekat atau keluarga.
Selasa,210,540,40,60,1,Minum Teh Herbal: Teh herbal seperti chamomile dapat membantu meredakan stres.
Rabu,420,540,35,60,1,Tidur yang Cukup: Pastikan Anda mendapatkan tidur yang cukup untuk pemulihan tubuh.
Kamis,450,450,30,60,1,Peregangan Ringan: Lakukan beberapa peregangan ringan untuk melepaskan ketegangan otot.
Jumat,450,30,35,30,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Sabtu,540,150,40,120,3,Mengatur Waktu Libur: Jadwalkan waktu libur singkat untuk melepaskan diri dari rutinitas sehari-hari.
Minggu,300,240,45,120,3,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Senin,360,210,30,30,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Selasa,270,150,45,60,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Rabu,480,150,40,120,3,"Seni Kreatif: Cobalah seni kreatif seperti melukis, menggambar, atau membuat kerajinan."
Kamis,150,300,30,30,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Jumat,450,180,40,30,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Sabtu,420,330,35,90,2,"Pentingkan Diri Sendiri: Luangkan waktu untuk merawat diri sendiri, seperti mandi panas atau spa di rumah."
Minggu,120,60,30,30,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Senin,690,510,20,90,5,Bergabung dengan Kelompok Dukungan: Bergabunglah dengan kelompok dukungan untuk berbagi pengalaman dengan orang lain.
Selasa,450,270,30,30,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Rabu,90,420,35,90,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Kamis,120,180,40,120,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Jumat,540,300,30,60,4,Mengurangi Stimulan: Kurangi konsumsi kafein dan gula untuk membantu menstabilkan mood.
Sabtu,300,30,45,30,2,"Seni Kreatif: Cobalah seni kreatif seperti melukis, menggambar, atau membuat kerajinan."
Minggu,600,330,20,60,2,Mengikuti Kelas Seni atau Musik: Ikuti kelas seni atau musik untuk menyalurkan kreativitas.
Senin,720,60,30,120,5,Mengubah Pola Hidup: Evaluasi dan sesuaikan pola hidup untuk mengurangi faktor penyebab stres.
Selasa,30,420,40,120,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Rabu,420,300,35,90,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Kamis,420,90,20,120,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Jumat,450,570,45,120,1,Peregangan Ringan: Lakukan beberapa peregangan ringan untuk melepaskan ketegangan otot.
Sabtu,720,90,30,90,3,Menonton Film Favorit: Tonton film atau acara TV yang membuat Anda tertawa atau merasa bahagia.
Minggu,240,390,40,90,2,Terapi Refleksi atau Pijat: Pijatan ringan dapat membantu mengurangi ketegangan otot.
Senin,510,210,30,30,4,Mengurangi Stimulan: Kurangi konsumsi kafein dan gula untuk membantu menstabilkan mood.
